Date,Close,Open,High,Low,Volume,Change
1993-02-01,44.25,43.97,44.25,43.97,480500.0,0.0070999999999999995
1993-02-02,44.34,44.22,44.38,44.12,201300.0,0.002
1993-02-03,44.81,44.41,44.84,44.38,529400.0,0.0106
1993-02-04,45.0,44.97,45.09,44.88,531500.0,0.0042
1993-02-05,44.97,44.97,45.06,44.72,492100.0,-0.0007000000000000001
1993-02-08,44.97,44.97,45.12,44.91,596100.0,0.0
1993-02-09,44.66,44.81,44.81,44.56,122100.0,-0.0069
1993-02-10,44.72,44.66,44.75,44.53,379600.0,0.0013
1993-02-11,44.94,44.78,45.12,44.78,19500.0,0.0049
1993-02-12,44.59,44.88,44.88,44.59,42500.0,-0.0078000000000000005
1993-02-16,43.47,44.47,44.47,43.41,374800.0,-0.025099999999999997
1993-02-17,43.44,43.47,43.53,43.28,210900.0,-0.0007000000000000001
1993-02-18,43.41,43.94,43.94,42.81,378100.0,-0.0007000000000000001
1993-02-19,43.56,43.41,43.56,43.34,34900.0,0.0034999999999999996
1993-02-22,43.72,43.69,43.78,43.56,513600.0,0.0037
1993-02-23,43.69,43.84,43.88,43.47,373700.0,-0.0007000000000000001
1993-02-24,44.25,43.72,44.25,43.72,26300.0,0.0128
1993-02-25,44.34,44.22,44.38,44.12,44500.0,0.002
1993-02-26,44.41,44.44,44.44,44.19,66200.0,0.0016
1993-03-01,44.28,44.56,44.56,44.22,66500.0,-0.0029
1993-03-02,44.94,44.31,44.94,44.25,182400.0,0.0149
1993-03-03,45.12,45.0,45.16,44.94,280100.0,0.004
1993-03-04,44.88,45.19,45.19,44.88,89500.0,-0.0053
1993-03-05,44.75,44.94,45.12,44.72,40000.0,-0.0029
1993-03-08,45.75,44.84,45.75,44.84,50800.0,0.0223
1993-03-09,45.59,45.66,45.69,45.5,169300.0,-0.0034999999999999996
1993-03-10,45.69,45.59,45.69,45.41,194400.0,0.0022
1993-03-11,45.56,45.72,45.84,45.5,70900.0,-0.0028000000000000004
1993-03-12,45.09,45.19,45.22,44.81,643600.0,-0.0103
1993-03-15,45.31,45.06,45.31,45.06,310800.0,0.0049
1993-03-16,45.31,45.31,45.44,45.31,30800.0,0.0
1993-03-17,45.03,45.25,45.25,44.97,21800.0,-0.0062
1993-03-18,45.31,45.22,45.5,45.22,59300.0,0.0062
1993-03-19,45.03,45.28,45.28,45.03,66900.0,-0.0062
1993-03-22,44.78,44.59,44.88,44.56,183400.0,-0.005600000000000001
1993-03-23,44.88,44.91,44.94,44.81,55200.0,0.0022
1993-03-24,44.88,44.81,45.06,44.59,37200.0,0.0
1993-03-25,45.16,44.91,45.25,44.84,110100.0,0.0062
1993-03-26,44.91,45.12,45.16,44.88,101500.0,-0.0055000000000000005
1993-03-29,45.09,44.94,45.31,44.94,87100.0,0.004
1993-03-30,45.22,45.16,45.22,45.09,56000.0,0.0029
1993-03-31,45.19,45.34,45.47,45.19,111600.0,-0.0007000000000000001
1993-04-01,45.03,45.25,45.25,44.94,129500.0,-0.0034999999999999996
1993-04-02,44.09,44.66,44.66,44.09,59400.0,-0.0209
1993-04-05,44.31,44.44,44.44,44.19,172200.0,0.005
1993-04-06,44.19,44.41,44.41,44.06,129699.99999999999,-0.0027
1993-04-07,44.34,44.25,44.34,44.16,28000.0,0.0034000000000000002
1993-04-08,44.28,44.53,44.53,44.09,180800.0,-0.0014000000000000002
1993-04-12,44.91,44.72,44.94,44.66,348500.0,0.014199999999999999
1993-04-13,45.0,44.88,45.16,44.84,146100.0,0.002
1993-04-14,44.94,45.03,45.06,44.91,119600.0,-0.0013
1993-04-15,44.94,44.91,45.03,44.75,148600.0,0.0
1993-04-16,44.94,44.97,45.03,44.88,47900.0,0.0
1993-04-19,44.75,44.94,45.06,44.72,157000.0,-0.0042
1993-04-20,44.53,44.69,44.75,44.25,279500.0,-0.0049
1993-04-21,44.5,44.62,44.62,44.38,67900.0,-0.0007000000000000001
1993-04-22,43.94,44.31,44.69,43.94,97700.0,-0.0126
1993-04-23,43.75,43.84,43.97,43.69,106000.0,-0.0043
1993-04-26,43.41,43.78,43.94,43.28,62600.0,-0.0078000000000000005
1993-04-27,43.88,43.34,43.88,43.34,156800.0,0.0108
1993-04-28,43.78,43.81,43.91,43.72,85900.0,-0.0023
1993-04-29,43.97,43.88,43.97,43.62,85000.0,0.0043
1993-04-30,44.03,44.12,44.28,44.03,88500.0,0.0014000000000000002
1993-05-03,44.31,44.09,44.31,43.91,80500.0,0.0064
1993-05-04,44.47,44.41,44.62,44.34,149100.0,0.0036
1993-05-05,44.59,44.47,44.75,44.47,109000.0,0.0027
1993-05-06,44.44,44.53,44.56,44.41,54700.0,-0.0034000000000000002
1993-05-07,44.34,44.47,44.47,44.28,68000.0,-0.0023
1993-05-10,44.44,44.41,44.69,44.41,113900.0,0.0023
1993-05-11,44.62,44.44,44.62,44.31,42600.0,0.0040999999999999995
1993-05-12,44.56,44.44,44.59,44.44,31000.0,-0.0013
1993-05-13,44.03,44.38,44.38,44.0,129100.0,-0.011899999999999999
1993-05-14,44.0,44.03,44.16,43.97,63500.0,-0.0007000000000000001
1993-05-17,44.16,44.12,44.16,43.94,34000.0,0.0036
1993-05-18,44.12,44.19,44.22,43.97,105200.0,-0.0009
1993-05-19,45.03,44.12,45.03,43.84,50200.0,0.0206
1993-05-20,45.16,45.03,45.16,44.94,98200.0,0.0029
1993-05-21,44.75,45.19,45.25,44.72,221400.0,-0.0091
1993-05-24,44.94,44.84,45.09,44.84,30500.0,0.0042
1993-05-25,45.03,45.12,45.12,45.03,191800.0,0.002
1993-05-26,45.59,45.16,45.62,45.12,102400.0,0.0124
1993-05-27,45.44,45.66,45.66,45.38,53800.0,-0.0033
1993-05-28,45.22,45.41,45.41,45.0,79100.0,-0.0048
1993-06-01,45.66,45.38,45.81,45.31,28300.0,0.0097
1993-06-02,45.59,45.53,45.75,45.34,20300.0,-0.0015
1993-06-03,45.44,45.5,45.5,45.34,21600.0,-0.0033
1993-06-04,45.28,45.31,45.31,45.09,32000.0,-0.0034999999999999996
1993-06-07,45.12,45.38,45.38,45.12,121400.0,-0.0034999999999999996
1993-06-08,44.72,45.0,45.0,44.72,104500.0,-0.0089
1993-06-09,44.88,44.88,45.06,44.81,43300.0,0.0036
1993-06-10,44.91,44.84,44.94,44.75,17900.0,0.0007000000000000001
1993-06-11,45.09,45.06,45.16,44.91,647400.0,0.004
1993-06-14,45.03,45.16,45.19,45.03,64200.0,-0.0013
1993-06-15,44.94,45.09,45.12,44.94,142400.0,-0.002
1993-06-16,45.03,44.94,45.03,44.81,330900.0,0.002
1993-06-17,45.19,45.12,45.19,45.03,37400.0,0.0036
1993-06-18,44.5,44.84,44.84,44.5,58500.0,-0.015300000000000001
1993-06-21,44.59,44.62,44.62,44.53,29300.0,0.002
1993-06-22,44.62,44.66,44.66,44.56,137500.0,0.0007000000000000001
1993-06-23,44.22,44.62,44.62,44.22,227600.0,-0.009000000000000001
1993-06-24,44.81,44.34,44.81,44.34,243700.0,0.013300000000000001
1993-06-25,44.78,44.78,44.91,44.75,44800.0,-0.0007000000000000001
1993-06-28,45.28,45.0,45.28,44.94,439900.0,0.011200000000000002
1993-06-29,45.06,45.22,45.22,45.0,207500.0,-0.0049
1993-06-30,45.06,45.12,45.22,45.0,437600.0,0.0
1993-07-01,44.94,45.12,45.12,44.88,605700.0,-0.0027
1993-07-02,44.69,44.78,44.81,44.53,285400.0,-0.005600000000000001
1993-07-06,44.22,44.62,44.75,44.16,246400.0,-0.0105
1993-07-07,44.34,44.19,44.41,44.19,343700.0,0.0027
1993-07-08,44.84,44.38,44.94,44.31,248200.0,0.0113
1993-07-09,44.97,44.84,44.97,44.75,378200.0,0.0029
1993-07-12,44.94,44.91,44.97,44.84,373700.0,-0.0007000000000000001
1993-07-13,44.91,44.97,45.09,44.66,389600.0,-0.0007000000000000001
1993-07-14,45.06,44.94,45.19,44.91,617300.0,0.0033
1993-07-15,44.88,45.03,45.03,44.78,443800.0,-0.004
1993-07-16,44.75,44.91,44.94,44.69,216400.0,-0.0029
1993-07-19,44.72,44.75,44.75,44.59,188200.0,-0.0007000000000000001
1993-07-20,44.84,44.69,44.84,44.47,68500.0,0.0027
1993-07-21,44.81,44.78,44.81,44.66,142700.0,-0.0007000000000000001
1993-07-22,44.5,44.75,44.81,44.5,632400.0,-0.0069
1993-07-23,44.72,44.59,44.72,44.56,286200.0,0.0049
1993-07-26,44.97,44.84,45.06,44.84,121300.0,0.005600000000000001
1993-07-27,44.94,45.0,45.03,44.78,92800.0,-0.0007000000000000001
1993-07-28,44.84,44.84,44.94,44.78,30800.0,-0.0022
1993-07-29,45.09,44.94,45.22,44.88,331000.0,0.005600000000000001
1993-07-30,44.84,45.09,45.09,44.78,75300.0,-0.0055000000000000005
1993-08-02,44.97,44.91,45.12,44.91,41300.0,0.0029
1993-08-03,45.0,45.06,45.19,44.84,81600.0,0.0007000000000000001
1993-08-04,45.0,45.0,45.09,44.88,434000.0,0.0
1993-08-05,44.91,45.0,45.0,44.84,36800.0,-0.002
1993-08-06,44.97,45.03,45.06,44.91,402300.0,0.0013
1993-08-09,45.22,45.09,45.34,45.0,828200.0,0.005600000000000001
1993-08-10,45.19,45.19,45.22,45.12,604900.0,-0.0007000000000000001
1993-08-11,45.19,45.16,45.31,45.16,542200.0,0.0
1993-08-12,45.06,45.31,45.31,44.91,303700.0,-0.0029
1993-08-13,45.12,45.09,45.16,45.09,103500.0,0.0013
1993-08-16,45.38,45.16,45.5,45.16,241800.0,0.0058
1993-08-17,45.53,45.34,45.53,45.34,369300.0,0.0033
1993-08-18,45.78,45.69,45.88,45.66,414300.0,0.0055000000000000005
1993-08-19,45.78,45.81,45.81,45.72,28500.0,0.0
1993-08-20,45.81,45.69,45.81,45.66,80700.0,0.0007000000000000001
1993-08-23,45.72,45.62,45.75,45.62,15600.0,-0.002
1993-08-24,46.22,45.72,46.22,45.72,273400.0,0.0109
1993-08-25,46.25,46.22,46.44,46.16,242300.0,0.0006
1993-08-26,46.28,46.28,46.53,46.09,120000.0,0.0006
1993-08-27,46.25,46.16,46.25,46.16,25700.0,-0.0006
1993-08-30,46.44,46.28,46.5,46.28,183500.0,0.0040999999999999995
1993-08-31,46.56,46.41,46.56,46.34,66500.0,0.0026
1993-09-01,46.5,46.41,46.59,46.41,136500.0,-0.0013
1993-09-02,46.34,46.53,46.59,46.31,472400.0,-0.0034000000000000002
1993-09-03,46.38,46.31,46.44,46.25,630500.0,0.0009
1993-09-07,46.06,46.38,46.44,46.0,196400.0,-0.0069
1993-09-08,45.91,46.06,46.06,45.59,269900.0,-0.0033
1993-09-09,46.0,45.72,46.03,45.72,239200.0,0.002
1993-09-10,46.41,46.12,46.44,46.06,106500.0,0.0089
1993-09-13,46.44,46.56,46.56,46.44,66900.0,0.0006
1993-09-14,46.25,46.31,46.31,46.09,184500.0,-0.0040999999999999995
1993-09-15,46.38,46.06,46.41,45.91,101000.0,0.0028000000000000004
1993-09-16,46.28,46.31,46.34,46.16,54300.0,-0.0022
1993-09-17,45.81,45.88,45.91,45.75,200900.0,-0.0102
1993-09-20,45.44,45.88,45.97,45.44,57800.0,-0.008100000000000001
1993-09-21,45.28,45.5,45.56,44.81,318200.0,-0.0034999999999999996
1993-09-22,45.66,45.44,45.72,45.38,439700.0,0.0084
1993-09-23,45.91,45.78,45.94,45.72,88500.0,0.0055000000000000005
1993-09-24,45.78,45.84,45.88,45.72,53500.0,-0.0028000000000000004
1993-09-27,46.28,46.12,46.28,46.12,274600.0,0.0109
1993-09-28,46.19,46.31,46.31,46.16,158300.0,-0.0019
1993-09-29,46.03,46.19,46.31,45.97,221000.0,-0.0034999999999999996
1993-09-30,45.94,46.03,46.12,45.84,99300.0,-0.002
1993-10-01,46.16,45.88,46.22,45.81,22700.0,0.0048
1993-10-04,46.22,46.22,46.22,46.09,1040000.0,0.0013
1993-10-05,46.16,46.31,46.31,46.0,436500.0,-0.0013
1993-10-06,46.12,46.19,46.38,46.12,209200.0,-0.0009
1993-10-07,46.0,46.19,46.19,45.97,59400.0,-0.0026
1993-10-08,46.06,46.12,46.16,45.72,54400.0,0.0013
1993-10-11,46.16,46.16,46.25,46.16,467100.0,0.0022
1993-10-12,46.22,46.22,46.25,46.19,26200.0,0.0013
1993-10-13,46.22,46.25,46.25,46.16,139100.0,0.0
1993-10-14,46.81,46.41,46.81,46.28,108100.0,0.0128
1993-10-15,47.06,47.03,47.16,46.91,1500000.0,0.0053
1993-10-18,46.94,47.03,47.03,46.88,722400.0,-0.0025
1993-10-19,46.59,46.88,46.97,46.59,880100.0,-0.0075
1993-10-20,46.66,46.75,46.75,46.56,230400.0,0.0015
1993-10-21,46.59,46.69,46.69,46.53,56200.0,-0.0015
1993-10-22,46.38,46.66,46.84,46.38,390700.0,-0.0045000000000000005
1993-10-25,46.5,46.41,46.56,46.28,114500.0,0.0026
1993-10-26,46.47,46.47,46.5,46.31,186200.0,-0.0006
1993-10-27,46.5,46.41,46.53,46.41,118400.0,0.0006
1993-10-28,46.84,46.56,46.97,46.56,129600.0,0.0073
1993-10-29,46.84,46.81,46.88,46.78,80700.0,0.0
1993-11-01,46.97,46.78,47.0,46.78,36400.0,0.0028000000000000004
1993-11-02,46.94,46.91,47.0,46.66,262100.00000000003,-0.0006
1993-11-03,46.34,46.91,46.91,46.12,479100.0,-0.0128
1993-11-04,45.84,46.34,46.34,45.81,130400.0,-0.0108
